Id,DateandTime,BetaineTankLevel,SLS_Tank_A_Level,SLS_Tank_B_Level,SLE3S_Tank_A_Level,SLE3S_Tank_B_Level,SLE1S_Tank_Level,HAS_Tank_Level,HeatingBay_Tank_Level,HeatingBay_Tank_Temp,GelN_Tank_A_Level,GelN_Tank_B_Level,NACL6T_Level,NACL2T_Level,LPBase_Tank_Level,LPBase_SurgeTank_Level,HCBase_Tank_Level,THXN_Tank_Level,DM5500_Tank_Level,Dadmac_Tank_Level,Perfume1_Tank_Level,Perfume2_Tank_Level,Perfume3_Tank_Level,HotDI_Tank_Level,ColdDI_Tank_Level,1.25_Tank_Level,Benzyl_Tank_Level,Climbazole_Tank_Level,Kathon_Level,Pure_refresh,HCL
289326,2025-10-23 04:44:10.663,44.77951,46.8746,47.36842,51.84884,88.53864,0,72.92153,1774.805,49.8,4514.815,-13.5,2182.5,1697.382,5230.376,861,7006,-76.125,20.175,NULL,616.14,539.4938,511.885,80.36769,89.86111,8.466666,1264.619,1774.805,351.5078,948.2977,18.55383
289327,2025-10-23 04:49:10.410,44.78599,46.8746,46.73164,51.84884,88.74792,0,72.92153,1774.222,47.2,4514.444,-13.875,2182.5,1697.382,5230.376,861,7006,-76.125,20.1625,NULL,616.035,539.4375,511.885,80.44462,89.72221,8.5,1265.154,1774.222,351.6699,948.7841,18.55383
289328,2025-10-23 04:54:11.020,44.82814,46.8746,46.5822,51.84884,88.74792,0,72.92802,1774.027,48.825,4514.444,-13.875,2182.5,1697.382,5229.409,861,7008,-76.125,20.16875,NULL,616.035,539.4375,511.885,80.28307,89.86111,8.5,1264.911,1774.027,351.6699,948.7841,18.58625
289329,2025-10-23 04:59:10.427,44.76978,46.84211,46.92008,51.84884,88.74138,0,72.92153,1775.292,48.975,4515.185,-13.5,2182.875,1698.007,5229.409,861,7008,-76.125,20.16875,NULL,616.0875,539.4375,511.83,81.76462,89.86111,8.5,1265.154,1775.292,351.6699,949.2704,18.55383
289330,2025-10-23 05:04:11.207,44.81517,46.8746,47.0013,51.88139,88.71194,0,72.91505,1775.292,49.61875,4515.556,-13.5,2182.875,1697.632,5229.409,861,7008,-76.125,20.16875,NULL,616.1925,539.4938,511.885,83.19077,90.13889,8.5,1264.668,1775.292,351.6699,948.7841,18.58625
289331,2025-10-23 05:09:11.103,44.76329,46.90708,47.16699,51.0774,88.66617,0,72.87938,1774.125,50.05625,4515.185,-13.875,2182.5,1697.382,5229.409,861,7008,-76.125,20.16875,NULL,615.93,539.4938,511.885,83.70923,90.13889,8.5,1266.224,1774.125,351.3456,948.2977,18.58625
289332,2025-10-23 05:14:11.133,44.74384,46.90708,47.23197,51.26945,88.71848,0,72.88586,1771.984,49.95625,4514.815,-13.875,2182.875,1697.632,5229.409,861,7008,-76.125,20.1625,NULL,615.9825,539.55,511.885,83.69385,90.41666,8.5,1263.695,1771.984,351.3456,948.2977,18.58625
289333,2025-10-23 05:19:10.920,44.76005,46.8746,47.27095,51.33455,88.75118,0,72.88911,1773.93,50.4,4514.815,-13.5,2182.5,1697.382,5229.409,861,7008,-76.125,20.175,NULL,616.0875,539.4375,511.94,83.73231,90,8.5,1263.258,1773.93,351.6699,948.7841,18.55383
289334,2025-10-23 05:24:10.940,44.78275,45.65302,47.19948,51.94649,88.73157,0,72.89559,1774.708,49.21875,4515.185,-13.5,2296.5,1697.507,5229.409,861,7008,-76.125,20.16875,NULL,616.14,539.4375,511.885,83.80923,88.75,8.5,1264.473,1774.708,351.6699,948.2977,18.58625
289335,2025-10-23 05:29:10.850,44.77951,46.00715,47.2872,51.91394,88.74464,0,72.89883,1775.778,49.13125,4515.185,-13.5,2205.75,1697.507,5230.376,861,7008,-76.125,20.1625,NULL,616.14,539.4375,511.885,83.75539,90.27779,8.5,1264.473,1775.778,351.8158,949.2704,18.58625
289336,2025-10-23 05:34:10.667,44.8022,46.8746,47.32619,51.91394,88.75118,0,72.92802,1774.611,49.06875,4515.185,-13.875,2188.5,1697.382,5230.376,861,7008,-76.125,20.1625,NULL,616.035,539.55,511.83,83.80923,90.27779,8.566667,1264.814,1774.611,351.8158,948.7841,18.58625
289337,2025-10-23 05:39:10.890,44.75357,46.8746,47.26771,51.88139,88.72829,0,72.88911,1775.778,49.2625,4515.185,-13.875,2182.875,1697.382,5230.376,861,7008,-76.125,20.16875,NULL,616.14,539.4375,511.885,84.24461,90.13889,8.6,1264.814,1775.778,351.3456,947.8113,18.58625
289338,2025-10-23 05:44:10.750,44.78599,46.90708,47.30019,51.84884,88.69559,0,72.93774,1774.222,49.55625,4514.815,-13.5,2183.25,1697.257,5230.376,861,7008,-76.125,20.1625,NULL,616.0875,539.4375,511.885,84.60307,90.13889,8.6,1264.473,1774.222,351.5078,947.8113,18.58625
