Source_Description,Source_GCAS,Target_GCAS,Washout_Type
"Pantene Hair Science Healthy Shine shampoo

Pantene Hair Science Silky Smooth shampoo",21302240,90947730,X
PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth ,21309190,90947730,X
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control
PTN Pro-V 2 in1 Shampoo + Conditioner Deep repair",21309189,90947730,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh,90275009,21422088,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black,21055594,21422088,X
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
",21055593,21422088,X
H&S SS 2IN1 ,21432817,21422088,X
H&S SS ,21422079,21422088,X
H&S AHF  Maverick,21417344,21422088,WASH
H&S AHF 2IN1 ,21412529,21422088,WASH
H&S SB ,21422081,21422088,X
H&S SB 2IN1 Maverick,91043645,21422088,X
H&S CM Maverick,90947730,21422088,X
H&S CM 2IN1 ,21422088,21422088,X
H&S Active Protect 2in1 Maverick,91005113,21422088,X
H&S LF Maverick,90966400,21422088,X
H&S 7IN1 Anti Dandruff Shampoo ( Rolls Royce),21433480,21422088,X
H&S  Deep Cleanse anti dandruff Shampoo (Black Gold),21433484,21422088,WASH
H&S Neem Maverick,91305780,21422088,WASH
H&S Daily Clean,21470269,21422088,X
 H&S Neem small sachet ,21448509,21422088,WASH
"H&S Daily Cool 
",21453170,21422088,X
"H&S Daily Smooth
",21470270,21422088,X
H&S Charcoal Deep Clean,21453169,21422088,WASH
Pantene Hair Science Lively Clean shampoo,20256318,21422088,X
Pantene Hair Science Luscious Thick shampoo,21309188,21422088,X
"Pantene Hair Science Deep Repair shampoo

Pantene Hair Science Hairfall Control shampoo",21302239,21422088,X
"Pantene Hair Science Healthy Shine shampoo

Pantene Hair Science Silky Smooth shampoo",21302240,21422088,X
PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth ,21309190,21422088,X
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control
PTN Pro-V 2 in1 Shampoo + Conditioner Deep repair",21309189,21422088,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh,90275009,91005113,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black,21055594,91005113,X
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
",21055593,91005113,X
H&S SS 2IN1 ,21432817,91005113,X
H&S SS ,21422079,91005113,X
H&S AHF  Maverick,21417344,91005113,WASH
H&S AHF 2IN1 ,21412529,91005113,WASH
H&S SB ,21422081,91005113,X
H&S SB 2IN1 Maverick,91043645,91005113,X
H&S CM Maverick,90947730,91005113,X
H&S CM 2IN1 ,21422088,91005113,X
H&S Active Protect 2in1 Maverick,91005113,91005113,X
H&S LF Maverick,90966400,91005113,X
H&S 7IN1 Anti Dandruff Shampoo ( Rolls Royce),21433480,91005113,X
H&S  Deep Cleanse anti dandruff Shampoo (Black Gold),21433484,91005113,WASH
H&S Neem Maverick,91305780,91005113,WASH
H&S Daily Clean,21470269,91005113,X
 H&S Neem small sachet ,21448509,91005113,WASH
"H&S Daily Cool 
",21453170,91005113,X
"H&S Daily Smooth
",21470270,91005113,X
H&S Charcoal Deep Clean,21453169,91005113,WASH
Pantene Hair Science Lively Clean shampoo,20256318,91005113,X
Pantene Hair Science Luscious Thick shampoo,21309188,91005113,X
"Pantene Hair Science Deep Repair shampoo

Pantene Hair Science Hairfall Control shampoo",21302239,91005113,X
"Pantene Hair Science Healthy Shine shampoo

Pantene Hair Science Silky Smooth shampoo",21302240,91005113,X
PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth ,21309190,91005113,X
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control
PTN Pro-V 2 in1 Shampoo + Conditioner Deep repair",21309189,91005113,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh,90275009,90966400,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black,21055594,90966400,X
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
",21055593,90966400,X
H&S SS 2IN1 ,21432817,90966400,X
H&S SS ,21422079,90966400,X
H&S AHF  Maverick,21417344,90966400,WASH
H&S AHF 2IN1 ,21412529,90966400,WASH
H&S SB ,21422081,90966400,X
H&S SB 2IN1 Maverick,91043645,90966400,X
H&S CM Maverick,90947730,90966400,X
H&S CM 2IN1 ,21422088,90966400,X
H&S Active Protect 2in1 Maverick,91005113,90966400,X
H&S LF Maverick,90966400,90966400,X
H&S 7IN1 Anti Dandruff Shampoo ( Rolls Royce),21433480,90966400,X
H&S  Deep Cleanse anti dandruff Shampoo (Black Gold),21433484,90966400,WASH
H&S Neem Maverick,91305780,90966400,WASH
H&S Daily Clean,21470269,90966400,X
 H&S Neem small sachet ,21448509,90966400,WASH
"H&S Daily Cool 
",21453170,90966400,X
"H&S Daily Smooth
",21470270,90966400,X
H&S Charcoal Deep Clean,21453169,90966400,WASH
Pantene Hair Science Lively Clean shampoo,20256318,90966400,X
Pantene Hair Science Luscious Thick shampoo,21309188,90966400,X
"Pantene Hair Science Deep Repair shampoo

Pantene Hair Science Hairfall Control shampoo",21302239,90966400,X
"Pantene Hair Science Healthy Shine shampoo

Pantene Hair Science Silky Smooth shampoo",21302240,90966400,X
PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth ,21309190,90966400,X
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control
PTN Pro-V 2 in1 Shampoo + Conditioner Deep repair",21309189,90966400,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh,90275009,21433480,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black,21055594,21433480,X
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
",21055593,21433480,X
H&S SS 2IN1 ,21432817,21433480,X
H&S SS ,21422079,21433480,X
H&S AHF  Maverick,21417344,21433480,WASH
